This file was created by CMPT_BEME_RETS using the 201603 CRSP database.,,,
It contains value- and equal-weighted returns for portfolios formed on BE/ME.,,,
,,,
,,,
The portfolios are constructede at the end of June.,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Lo 30,Med 40,Hi 30
199011,7.48,6.78,5.15
199012,3.78,2.5,2.08
199101,6.53,3.68,4.8
199102,8.08,6.86,7.74
199103,4.3,1.49,3.36
199104,-0.28,0.85,0.52
199105,4.64,3.09,4.8
199106,-4.9,-4.21,-3.74
199107,5.34,3.98,3.86
199108,3.43,1.93,2.37
199109,-1.97,0.09,-1.72
199110,1.6,1.76,1.8
199111,-2.66,-4.44,-5.6
199112,14.14,7.57,8.72
199201,-1.59,-0.67,5.32
199202,0.41,0.97,6.9
199203,-3.03,-1.28,-1.02
199204,-0.23,4.19,3.04
199205,0.78,0.5,0.73
199206,-2.75,-1.35,0.06
199207,4.2,4.54,2.36
199208,-1.4,-2.09,-4.53
199209,1.61,0.99,1.26
199210,2.55,-0.64,1.04
199211,5,2.88,4.91
199212,0.86,2.25,3.66
199301,-0.9,1.71,5.59
199302,-2.66,3.75,2.74
199303,1.81,3.05,2.88
199304,-4.91,-1.03,-1.22
199305,4.23,2.44,1.13
199306,-0.87,1.14,3.1
199307,-2.04,1.18,1.73
199308,3.63,4.16,3.36
199309,-0.34,0.65,-0.47
199310,3.07,-0.01,1.33
199311,-0.4,-2.65,-1.59
199312,1.51,1.97,2.44
199401,2,4.34,3.34
199402,-1.54,-2.68,-3.92
199403,-4.85,-3.91,-4
199404,0.26,1.88,1.54
199405,1.08,1.49,-0.62
199406,-3.21,-2.12,-2.29
199407,2.89,3.11,3.85
